info,vehicle_id,link,record_date,vehicle_type
北汽新能源 EV系列 2015款 EV200 轻快版2015年|13.2万公里|上海4.50万22.70万,63736290@1@28@0&0120000000000057,https://www.guazi.com/sh/32b64b6b47eb6487x.htm#fr_page=list&fr_pos=city&fr_no=28,2018-12-04,EV
北汽新能源 EV系列 2014款 E150EV 科技版2015年|1.6万公里|上海4.05万超值急售25.10万急降4500元,58538192@1@29@0&0120000000000057,https://www.guazi.com/sh/acadbf5a63a76e3cx.htm#fr_page=list&fr_pos=city&fr_no=29,2018-12-04,EV
川汽野马 野马T70新能源 2015款 基本型2018年|600公里|深圳7.60万急售准新车27.10万急降4000元,61083763@1@30@0&0120000000000057,https://www.guazi.com/sz/4adee5fcc2c51246x.htm#fr_page=list&fr_pos=city&fr_no=30,2018-12-04,EV
北汽新能源 EV系列 2016款 EV160 轻快版2016年|100公里|青岛4.38万19.30万新上架,63752875@1@31@0&0120000000000057,https://www.guazi.com/qd/bd1deeaff0294963x.htm#fr_page=list&fr_pos=city&fr_no=31,2018-12-04,EV
比亚迪 元 2018款 EV360 智联炫酷型2018年|0.7万公里|唐山9.20万准新车10.20万新上架,63250393@1@32@0&0120000000000057,https://www.guazi.com/tangshan/36926e8136732dccx.htm#fr_page=list&fr_pos=city&fr_no=32,2018-12-04,EV
众泰E200 2016款 三门两座科技版2017年|2.2万公里|天津5.00万准新车19.70万新上架,63816936@1@33@0&0120000000000057,https://www.guazi.com/tj/7caa89e552fa786ex.htm#fr_page=list&fr_pos=city&fr_no=33,2018-12-04,EV
北汽新能源 EV系列 2016款 EV160 轻快版2015年|5.0万公里|上海5.00万19.30万,62815320@1@34@0&0120000000000057,https://www.guazi.com/sh/78ac02c490d3bf56x.htm#fr_page=list&fr_pos=city&fr_no=34,2018-12-04,EV
北汽新能源 EV系列 2015款 EV200 轻快版2015年|5.4万公里|北京4.00万急售22.70万急降2400元,57734177@1@35@0&0120000000000057,https://www.guazi.com/bj/c8690888e2b6ce83x.htm#fr_page=list&fr_pos=city&fr_no=35,2018-12-04,EV
北汽新能源 EC系列 2017款 EC200 灵动版2017年|1.4万公里|北京4.20万准新车17.20万,62418059@1@36@0&0120000000000057,https://www.guazi.com/bj/8ef8fab377ba6c1bx.htm#fr_page=list&fr_pos=city&fr_no=36,2018-12-04,EV
众泰 2016款 云100S 豪华型2017年|300公里|台州4.50万急售准新车18.40万急降1800元,54917971@1@37@0&0120000000000057,https://www.guazi.com/zjtaizhou/8d8ff5487b91782fx.htm#fr_page=list&fr_pos=city&fr_no=37,2018-12-04,EV
北汽新能源EC系列 2017款 EC180 灵动版2016年|1.1万公里|益阳3.58万16.50万长沙过户,24224123@1@38@0&0120000000000057,https://www.guazi.com/yiyang/b02bcf8f3c28f84ax.htm#fr_page=list&fr_pos=city&fr_no=38,2018-12-04,EV
北汽新能源 EV系列 2015款 EV160 轻快版2015年|10.0万公里|武汉3.00万急售19.20万急降2000元,61169059@1@39@0&0120000000000057,https://www.guazi.com/wh/02dedb9ab9cefcd7x.htm#fr_page=list&fr_pos=city&fr_no=39,2018-12-04,EV
传祺GA5 2015款 增程式 尊享版2015年|4.9万公里|广州5.90万超值严选车23.80万,59930108@2@0@1&0120000000000057,https://www.guazi.com/gz/d02ae4b1ebc74617x.htm#fr_page=list&fr_pos=city&fr_no=0,2018-12-04,EV
北汽新能源 EV系列 2014款 E150EV 科技版2014年|4.6万公里|北京3.60万超值25.10万,63487099@2@1@0&0120000000000057,https://www.guazi.com/bj/bfccc7702481cac7x.htm#fr_page=list&fr_pos=city&fr_no=1,2018-12-04,EV
知豆D2 2017款 D2 乐享版2017年|1.2万公里|深圳2.50万急售准新车16.50万急降5000元,60385638@2@2@0&0120000000000057,https://www.guazi.com/sz/47fe51cbee9e75e6x.htm#fr_page=list&fr_pos=city&fr_no=2,2018-12-04,EV
长安 奔奔 2017款 纯电动 180公里时尚型2017年|0.7万公里|济宁5.09万超值准新车17.50万,50061106@2@3@0&0120000000000057,https://www.guazi.com/jining/934880d9bc0a1e2fx.htm#fr_page=list&fr_pos=city&fr_no=3,2018-12-04,EV
北汽新能源 EV系列 2014款 E150EV 科技版2015年|3.6万公里|上海3.20万超值25.10万,62666589@2@4@0&0120000000000057,https://www.guazi.com/sh/6f4d693083fc05ecx.htm#fr_page=list&fr_pos=city&fr_no=4,2018-12-04,EV
